"Daryl Dixon","PERSON"
"McFarlane","PERSON"
"Daryl Dixon Crossbow Ballesta","PERSON"
"Andreas","LOCATION"
"San","CITY"
"Gta","LOCATION"
"he","PERSON"
"Rick Grimes","PERSON"
"Daryl Dixon Star Norman Reedus","PERSON"
"Daryl","PERSON"
"riot","CRIMINAL_CHARGE"
"Daryl Dixon Angel","PERSON"
"Governor","TITLE"
"Daryl Cigar","PERSON"
"artist","TITLE"
"AMC TV","ORGANIZATION"
"Merle Dixon","PERSON"
"dealer","TITLE"
"his","PERSON"
"Janky","PERSON"
"Rick Grimes Daryl Dixon","PERSON"
"model","TITLE"
"HENRY","PERSON"
"Morgan","PERSON"
"Rick","PERSON"
"Samsung","ORGANIZATION"
"Rick Daryl Dixon","PERSON"
"Shell","ORGANIZATION"
"Carl","PERSON"
"Henry","PERSON"
"GA","STATE_OR_PROVINCE"
"Crossbow Training Academy Atlanta","ORGANIZATION"
"Daryl Dixon Norman Reedus Zombie Art","PERSON"
"AMC","ORGANIZATION"
"DARYL & Merle Dixon Action","ORGANIZATION"
