"Welsh","NATIONALITY"
"Lidl","LOCATION"
"Theresa May","PERSON"
"assistant","TITLE"
"NHS APP","ORGANIZATION"
"surgery","CAUSE_OF_DEATH"
"Bassett","PERSON"
"Chancellor","TITLE"
"Research Centre","ORGANIZATION"
"research associate","TITLE"
"Midwest","LOCATION"
"EU","LOCATION"
"SUSSEX PARTNERSHIP NHS Foundation Trust","ORGANIZATION"
"Medical Schools","ORGANIZATION"
"Sweden","COUNTRY"
"Israel","COUNTRY"
"A&E","ORGANIZATION"
"State /Society","ORGANIZATION"
"abandonment","CRIMINAL_CHARGE"
"Nthe NHS","ORGANIZATION"
"Clement Atlee","PERSON"
"producer","TITLE"
"Anglia","COUNTRY"
"David Behan","PERSON"
"Amyas Morse","PERSON"
"Nhs","LOCATION"
"Liverpool","ORGANIZATION"
"@jeremycorbyn","PERSON"
"Corbyn","PERSON"
"CQC","ORGANIZATION"
"Europe","LOCATION"
"David","PERSON"
"developer","TITLE"
"boss","TITLE"
"Ryan Giggs","PERSON"
"GIGSY","PERSON"
"Camden","CITY"
"ISLINGTON NHS Foundation Trust","ORGANIZATION"
"Psych Liaison Post","ORGANIZATION"
"Newcastle","ORGANIZATION"
"psychiatrist","TITLE"
"India","COUNTRY"
"Barts Choir","ORGANIZATION"
"Lewisham & Greenwich Nhs Choir","ORGANIZATION"
"Bach Choir","LOCATION"
"Google","ORGANIZATION"
"Anne Snowdon","PERSON"
"Canadian","NATIONALITY"
"Integrated Healthcare","ORGANIZATION"
"New Zealand","COUNTRY"
"Canada","COUNTRY"
"guide","TITLE"
"Canterbury","ORGANIZATION"
"New Zeland","LOCATION"
"IBM","ORGANIZATION"
"Cyber Security Partnership","ORGANIZATION"
"PA","STATE_OR_PROVINCE"
"ENGADGET","LOCATION"
"mobile","TITLE"
"El Reg","PERSON"
"paramedic","TITLE"
"Chatsworth","LOCATION"
"Newham","LOCATION"
"OK","STATE_OR_PROVINCE"
"She","PERSON"
"east London","CITY"
"COBORN Centre for Adolescent Mental Health","ORGANIZATION"
"Bint","PERSON"
"Nfuel","PERSON"
"Vietnam","COUNTRY"
"Jeremy Corbyn","PERSON"
"Jeremycorbyn","PERSON"
"FRAUD","CRIMINAL_CHARGE"
"Bristol","CITY"
